,step,loss,mean,stderr
0,0,11423.2,11423.2,
1,1000,15131.9,15131.9,
2,2000,13023.8,13023.8,
3,3000,12217.5,12217.5,
4,4000,9645.7,9645.7,
5,4000,3087.3,3087.3,
6,5000,11899.4,11899.4,
7,7000,10792.5,10792.5,
8,8500,5377.6,5377.6,
9,9000,2156.2,2156.2,
10,9500,5565.5,5565.5,
11,10000,4297.4,4297.4,
12,10500,6160.1,6160.1,
13,10500,2037.6,2037.6,
14,11000,2955.1,2955.1,
15,11500,2375.6,2375.6,
16,12000,2887.2,2887.2,
17,14000,20407.2,20407.2,
18,14500,12489.2,12489.2,
19,14500,1701.3,1701.3,
20,15000,6929.0,6929.0,
21,15500,9046.2,9046.2,
22,16000,5874.0,5874.0,
23,16500,4497.3,4497.3,
24,17000,3137.2,3137.2,
25,18000,19328.3,19328.3,
26,18500,16645.9,16645.9,
27,19500,12525.5,12525.5,
28,20000,5088.6,5088.6,
29,20500,5142.4,5142.4,
30,21500,23744.3,23744.3,
