,step,loss,mean,stderr
0,0,20378.4,20378.4,
1,500,7464.9,7464.9,
2,3000,11098.0,11098.0,
3,4000,8391.3,8391.3,
4,5000,11059.8,11059.8,
5,6000,10321.5,10321.5,
6,6500,9213.0,9213.0,
7,7000,5879.3,5879.3,
8,7500,1643.7,1643.7,
9,8000,8091.3,8091.3,
10,9000,11156.1,11156.1,
11,10000,17308.6,17308.6,
12,11500,10557.8,10557.8,
13,12500,11401.0,11401.0,
14,13000,8755.5,8755.5,
15,13500,4937.4,4937.4,
16,14000,10969.1,10969.1,
17,15000,11718.8,11718.8,
18,15500,10504.5,10504.5,
19,16500,9772.1,9772.1,
20,17000,4563.0,4563.0,
21,17500,852.0,852.0,
22,18500,15344.9,15344.9,
23,19500,21544.3,21544.3,
