,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,step,loss_x,loss_y,loss_x.1,loss_y.1,loss,mean,stderr
0,0,0,0,0,0,0,11676.4,16513.8,14694.2,16997.7,11225.2,14221.459999999995,2675.851206251947
1,1,1,1,1,1,0,11676.4,16513.8,14694.2,10621.6,11225.2,12946.24,2537.77815972949
2,2,2,2,2,2,0,11676.4,16513.8,20398.5,16997.7,11225.2,15362.319999999998,3875.088743112859
3,3,3,3,3,3,0,11676.4,16513.8,20398.5,10621.6,11225.2,14087.1,4234.80457636477
4,4,4,4,4,4,0,11676.4,13382.2,14694.2,16997.7,11225.2,13595.14,2352.0666270324914
5,5,5,5,5,5,0,11676.4,13382.2,14694.2,10621.6,11225.2,12319.920000000002,1677.9798127510358
6,6,6,6,6,6,0,11676.4,13382.2,20398.5,16997.7,11225.2,14736.0,3895.472897479842
7,7,7,7,7,7,0,11676.4,13382.2,20398.5,10621.6,11225.2,13460.78,4011.8856728476194
8,8,8,8,8,8,500,9117.0,,9834.8,,24486.1,14479.299999999996,8673.57157634616
9,9,9,9,9,22,1000,24178.0,6364.0,15482.7,,17700.6,15931.325,7368.241640705965
10,10,10,10,10,23,1000,24178.0,6364.0,15482.7,,13127.2,14787.975,7357.008919560993
11,11,11,11,11,24,1000,24178.0,6364.0,15482.7,,8959.8,13746.125,7942.383883685889
12,12,12,12,12,25,1000,24178.0,6364.0,15482.7,,8733.4,13689.525,7988.53503356529
13,13,13,13,13,30,1000,24178.0,6364.0,15482.7,,9577.5,13900.55,7823.416225878138
14,14,14,14,14,27,1000,24178.0,6364.0,15482.7,,7573.8,13399.625,8245.257731316427
15,15,15,15,15,28,1000,24178.0,6364.0,15482.7,,8172.2,13549.225,8108.617632443071
16,16,16,16,16,29,1000,24178.0,6364.0,15482.7,,8375.3,13600.0,8064.23853359179
17,17,17,17,17,21,1000,24178.0,6364.0,15482.7,,10329.8,14088.625,7692.800308676072
18,18,18,18,18,26,1000,24178.0,6364.0,15482.7,,7381.4,13351.525,8291.006491926459
19,19,19,19,19,20,1000,24178.0,6364.0,15482.7,,5874.6,12974.825,8677.879336325974
20,20,20,20,20,16,1000,21762.7,6364.0,15482.7,,7573.8,12795.8,7217.15693007526
21,21,21,21,21,18,1000,21762.7,6364.0,15482.7,,8375.3,12996.175,7032.614453328625
22,22,22,22,22,17,1000,21762.7,6364.0,15482.7,,8172.2,12945.4,7077.686410591153
23,23,23,23,23,15,1000,21762.7,6364.0,15482.7,,7381.4,12747.7,7264.04963685317
24,24,24,24,24,14,1000,21762.7,6364.0,15482.7,,8733.4,13085.7,6956.0454325715855
