,step,loss_x,loss_y,loss_x,loss_y,loss,mean,stderr
0,0,11676.4,16513.8,14694.2,16997.7,11225.2,14221.459999999997,2675.851206251947
1,0,11676.4,16513.8,14694.2,10621.6,11225.2,12946.24,2537.77815972949
2,0,11676.4,16513.8,20398.5,16997.7,11225.2,15362.319999999998,3875.0887431128594
3,0,11676.4,16513.8,20398.5,10621.6,11225.2,14087.1,4234.80457636477
4,0,11676.4,13382.2,14694.2,16997.7,11225.2,13595.14,2352.0666270324914
5,0,11676.4,13382.2,14694.2,10621.6,11225.2,12319.920000000002,1677.9798127510358
6,0,11676.4,13382.2,20398.5,16997.7,11225.2,14736.0,3895.4728974798422
7,0,11676.4,13382.2,20398.5,10621.6,11225.2,13460.779999999999,4011.8856728476194
8,500,9117.0,,9834.8,,24486.1,14479.299999999997,8673.57157634616
22,1000,24178.0,6364.0,15482.7,,17700.6,15931.324999999999,7368.241640705965
23,1000,24178.0,6364.0,15482.7,,13127.2,14787.974999999999,7357.008919560993
24,1000,24178.0,6364.0,15482.7,,8959.8,13746.125,7942.383883685889
25,1000,24178.0,6364.0,15482.7,,8733.4,13689.525,7988.53503356529
30,1000,24178.0,6364.0,15482.7,,9577.5,13900.55,7823.416225878138
28,1000,24178.0,6364.0,15482.7,,8172.2,13549.224999999999,8108.617632443071
29,1000,24178.0,6364.0,15482.7,,8375.3,13600.0,8064.23853359179
21,1000,24178.0,6364.0,15482.7,,10329.8,14088.625,7692.800308676072
26,1000,24178.0,6364.0,15482.7,,7381.4,13351.525,8291.006491926459
20,1000,24178.0,6364.0,15482.7,,5874.6,12974.824999999999,8677.879336325974
27,1000,24178.0,6364.0,15482.7,,7573.8,13399.625,8245.257731316427
18,1000,21762.7,6364.0,15482.7,,8375.3,12996.175,7032.614453328625
17,1000,21762.7,6364.0,15482.7,,8172.2,12945.4,7077.686410591153
16,1000,21762.7,6364.0,15482.7,,7573.8,12795.800000000001,7217.15693007526
15,1000,21762.7,6364.0,15482.7,,7381.4,12747.7,7264.04963685317
14,1000,21762.7,6364.0,15482.7,,8733.4,13085.7,6956.0454325715855
13,1000,21762.7,6364.0,15482.7,,8959.8,13142.3,6909.592980294378
12,1000,21762.7,6364.0,15482.7,,13127.2,14184.150000000001,6361.146163231906
11,1000,21762.7,6364.0,15482.7,,17700.6,15327.5,6516.947699140553
10,1000,21762.7,6364.0,15482.7,,10329.8,13484.8,6662.708419754437
9,1000,21762.7,6364.0,15482.7,,5874.6,12371.0,7663.201414117558
19,1000,21762.7,6364.0,15482.7,,9577.5,13296.725,6790.840152428367
31,1500,11758.7,,11930.7,11338.5,8190.4,10804.575,1760.4449122783333
32,2000,4678.0,,,,,4678.0,
44,2500,,21260.9,22555.3,12024.4,24484.8,20081.35,5532.226255014039
33,3000,8601.5,,5693.2,10859.8,15113.7,10067.05,3973.8952095729287
45,3500,,19508.9,11117.7,,,15313.300000000001,5933.474422292558
48,4000,,8876.4,2233.4,,19821.5,10310.433333333332,8881.309256147617
47,4000,,8876.4,431.0,,19821.5,9709.633333333333,9722.066699181472
46,4000,,8876.4,991.7,,19821.5,9896.533333333333,9456.2596211892
34,4500,24494.2,,,14023.8,17827.6,18781.866666666665,5300.027140811011
35,5000,15714.4,,8166.6,14428.6,,12769.866666666667,4038.0525520767223
62,5500,,,7622.3,,28605.5,18113.9,14837.363010993564
49,6000,,20184.2,21165.9,17557.7,,19635.933333333334,1865.5358649281804
36,6500,19058.5,,,,,19058.5,
50,7000,,16285.8,,22558.0,,19421.9,4435.115152958264
51,7000,,16285.8,,9437.8,,12861.8,4842.267237565477
63,7500,,,24819.0,5463.4,19137.4,16473.266666666666,9949.020939435866
37,8000,15691.8,32844.9,22450.3,12634.5,6208.6,17966.02,10165.185000136496
64,8500,,,2525.2,,,2525.2,
65,9000,,,2886.7,20068.6,,11477.65,12149.438003669142
52,9500,,43590.5,13229.7,18935.7,,25251.966666666664,16135.859525086766
53,10000,,25602.5,,10780.0,,18191.25,10481.090264137601
39,10500,5431.2,,17514.1,,,11472.65,8543.900526398935
38,10500,35467.6,,17514.1,,,26490.85,12695.04159603268
54,11000,,13240.2,20809.5,24957.5,,19669.066666666666,5941.31475040107
55,11000,,13240.2,0.1,24957.5,,12732.6,12486.440526026623
42,11500,21899.2,8845.8,,,,15372.5,9230.14765754048
41,11500,21899.2,24896.2,,,,23397.7,2119.199023216083
40,11500,21899.2,9316.2,,,,15607.7,8897.524627670327
57,12000,,18877.1,22449.9,17577.7,,19634.899999999998,2522.950423611214
58,12000,,19261.1,22449.9,17577.7,,19762.899999999998,2474.5576655232753
56,12000,,13907.3,22449.9,17577.7,,17978.3,4285.36625739271
43,12500,21163.9,,16692.9,22000.1,,19952.3,2853.5195601222
59,13000,,12839.6,37752.0,,,25295.8,17615.726975631747
60,13000,,8325.2,37752.0,,,23038.6,20807.889828620297
61,13000,,12239.6,37752.0,,,24995.8,18039.991044343675
66,13500,,,17533.8,16713.4,,17123.6,580.1104032854421
67,14000,,,,23741.3,,23741.3,
68,15000,,,,28027.8,,28027.8,
69,15000,,,,14133.6,,14133.6,
70,15500,,,,11883.1,,11883.1,
71,16000,,,,24849.4,,24849.4,
72,17000,,,,19570.6,,19570.6,
73,17500,,,,11449.0,,11449.0,
74,18000,,,,25167.3,,25167.3,
75,19000,,,,20891.4,,20891.4,
76,20000,,,,14596.0,,14596.0,
77,20500,,,,27214.4,,27214.4,
78,21500,,,,19123.7,,19123.7,
79,22000,,,,11230.2,,11230.2,
80,22500,,,,24673.7,,24673.7,
81,23000,,,,12973.4,,12973.4,
82,23500,,,,4954.7,,4954.7,
83,24000,,,,17242.4,,17242.4,
84,24500,,,,14343.6,,14343.6,
85,25500,,,,11941.1,,11941.1,
