,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,step,loss_x,loss_y,loss_x.1,loss_y.1,loss,mean,stderr
0,0,0,0,0,0,14177.4,17954.4,14571.6,17033.8,19859.7,16719.379999999997,2374.887644079189
1,1,1,1,1,0,14177.4,17954.4,14571.6,16223.9,19859.7,16557.4,2375.70085343252
2,2,2,2,2,0,14177.4,17954.4,16242.1,17033.8,19859.7,17053.48,2098.635777594579
3,3,3,3,3,0,14177.4,17954.4,16242.1,16223.9,19859.7,16891.5,2131.532112120294
4,4,4,4,4,0,14177.4,19080.7,14571.6,17033.8,19859.7,16944.64,2566.963804380576
5,5,5,5,5,0,14177.4,19080.7,14571.6,16223.9,19859.7,16782.66,2585.4178449527267
6,6,6,6,6,0,14177.4,19080.7,16242.1,17033.8,19859.7,17278.739999999998,2272.737460200804
7,7,7,7,7,0,14177.4,19080.7,16242.1,16223.9,19859.7,17116.76,2322.8671115670827
8,8,8,8,8,500,7354.3,,,,,7354.3,
9,9,9,9,69,1000,,17590.2,18841.6,10138.2,8796.9,13841.725,5106.080412850937
10,10,10,10,68,1000,,17590.2,18841.6,14489.9,8796.9,14929.65,4479.058001038462
11,11,11,11,67,1000,,17590.2,18841.6,15082.8,8796.9,15077.875000000002,4469.454626965129
12,12,12,12,66,1000,,17590.2,18841.6,25086.9,8796.9,17578.9,6710.3931077098605
13,13,13,13,65,1000,,17590.2,18841.6,21900.0,8796.9,16782.175,5622.896207694039
14,14,14,14,64,1000,,17590.2,18841.6,21488.0,8796.9,16679.175,5500.336519629201
15,15,15,15,63,1000,,17590.2,18841.6,14874.7,8796.9,15025.85,4470.589200914498
16,16,16,16,56,1000,,17590.2,18841.6,22192.2,8796.9,16855.225,5712.727831999351
17,17,17,17,53,1000,,17590.2,18841.6,17768.6,8796.9,15749.325,4667.785711573172
18,18,18,18,54,1000,,17590.2,18841.6,12342.3,8796.9,14392.750000000002,4673.8219638749615
19,19,19,19,55,1000,,17590.2,18841.6,20895.9,8796.9,16531.15,5333.211406835473
20,20,20,20,70,1000,,17590.2,18841.6,18531.1,8796.9,15939.95,4791.663573680161
21,21,21,21,57,1000,,17590.2,18841.6,20734.5,8796.9,16490.8,5289.613341256618
22,22,22,22,58,1000,,17590.2,18841.6,13984.6,8796.9,14803.325,4502.658072276123
23,23,23,23,59,1000,,17590.2,18841.6,17473.2,8796.9,15675.475,4627.350881714072
24,24,24,24,62,1000,,17590.2,18841.6,21541.2,8796.9,16692.475,5515.882738284055
25,25,25,25,60,1000,,17590.2,18841.6,30484.7,8796.9,18928.35,8906.807797222677
26,26,26,26,61,1000,,17590.2,18841.6,26977.0,8796.9,18051.425,7441.980629901783
27,27,27,27,9,1500,19487.5,,,,,19487.5,
28,28,28,28,10,2000,49918.1,19768.9,18764.7,,20333.6,27196.325,15161.739080632098
29,29,29,29,11,2500,16351.6,14104.6,,,,15228.1,1588.8689373261725
30,30,30,30,71,3000,,9202.0,22767.4,,,15984.7,9592.186329507991
31,31,31,31,72,3000,,602.2,22767.4,,,11684.8,15673.163226356064
32,32,32,32,12,3500,2805.3,,,,,2805.3,
33,33,33,33,13,3500,1043.4,,,,,1043.4,
34,34,34,34,16,4000,470.6,5246.3,4538.2,,6632.6,4221.925,2647.8398256881023
35,35,35,35,15,4000,470.6,5246.3,4531.3,,6632.6,4220.200000000001,2647.567332477118
36,36,36,36,14,4000,470.6,5246.3,22704.1,,6632.6,8763.4,9661.33098801609
37,37,37,37,78,4500,,,,,2157.9,2157.9,
38,38,38,38,79,4500,,,,,3078.0,3078.0,
39,39,39,39,77,4500,,,,,2856.5,2856.5,
40,40,40,40,17,5000,90.5,14578.8,12940.4,,11604.3,9803.5,6588.59826619694
41,41,41,41,18,5500,71.2,15419.7,,,,7745.450000000001,10853.028431041725
42,42,42,42,19,6000,0.0,14040.0,15238.5,,24950.1,13557.15,10273.84555996439
43,43,43,43,20,6000,0.0,14040.0,19861.9,,24950.1,14713.0,10773.960670988175
44,44,44,44,74,6500,,19515.0,,,6768.5,13141.75,9013.136586394328
45,45,45,45,73,6500,,19515.0,,,9373.0,14444.0,7171.476974793965
46,46,46,46,22,7000,50.0,4868.0,19412.1,,,8110.033333333333,10079.97094258378
47,47,47,47,21,7000,50.0,3496.2,19412.1,,,7652.766666666666,10328.625946530028
48,48,48,48,23,7500,24805.6,7910.6,18914.6,,12179.5,15952.575,7439.961931074199
49,49,49,49,25,8000,200.1,14494.3,,,,7347.2,10107.525751636747
50,50,50,50,24,8000,180.1,14494.3,,,,7337.2,10121.667887260475
51,51,51,51,26,8500,3673.5,22170.9,29229.5,,14046.8,17280.175,10989.417294644578
52,52,52,52,27,9000,15826.6,,14583.6,,13602.3,14670.833333333334,1114.7129062378951
53,53,53,53,75,9500,,30997.4,,,,30997.4,
54,54,54,54,28,10000,6416.7,,20509.3,,29836.2,18920.733333333334,11790.288508061763
55,55,55,55,29,10500,161.1,,14025.6,,17598.1,10594.933333333332,9210.82773605789
56,56,56,56,76,11000,,19249.0,,,,19249.0,
57,57,57,57,30,11500,1901.5,,28304.5,,,15103.0,18669.74034366841
58,58,58,58,31,12000,17395.8,34104.7,18362.5,,37064.0,26731.75,10300.810481543023
59,59,59,59,80,12500,,,,,19646.8,19646.8,
60,60,60,60,32,13000,32540.7,21811.3,,,,27176.0,7586.831498062944
61,61,61,61,33,13500,21479.4,,,,19427.7,20453.550000000003,1450.77098296044
62,62,62,62,81,14000,,,,,22341.9,22341.9,
63,63,63,63,34,15000,21239.2,,,,22487.0,21863.1,882.3278415645735
64,64,64,64,35,15500,21245.5,,,,,21245.5,
65,65,65,65,36,16000,22434.0,,,,,22434.0,
66,66,66,66,37,16500,2124.2,,,,,2124.2,
67,67,67,67,38,17500,20907.4,,,,,20907.4,
68,68,68,68,39,18000,1582.2,,,,,1582.2,
69,69,69,69,40,19000,9540.0,,,,,9540.0,
70,70,70,70,41,19500,6341.6,,,,,6341.6,
71,71,71,71,42,20000,19042.3,,,,,19042.3,
72,72,72,72,43,21000,10356.5,,,,,10356.5,
73,73,73,73,44,21500,7520.5,,,,,7520.5,
74,74,74,74,45,22000,19562.5,,,,,19562.5,
75,75,75,75,46,23500,10753.8,,,,,10753.8,
76,76,76,76,47,24000,230.9,,,,,230.9,
77,77,77,77,48,25000,340.3,,,,,340.3,
78,78,78,78,49,25000,60.1,,,,,60.1,
79,79,79,79,50,25500,602.2,,,,,602.2,
80,80,80,80,51,26000,6810.5,,,,,6810.5,
81,81,81,81,52,26500,15157.0,,,,,15157.0,
