,step,loss_x,loss_y,loss_x,loss_y,loss,mean,stderr
0,500,2.0688328503994406,,,,,2.0688328503994406,
61,1000,,2.0570508282369078,1.7086997013685192,2.333034583323731,2.0379417716408623,2.034181721142505,0.25546605284532403
60,1000,,2.0570508282369078,1.7086997013685192,2.337125939608454,2.0379417716408623,2.0352045602136855,0.2570646442292167
59,1000,,2.0570508282369078,1.7086997013685192,2.339935424163088,2.0379417716408623,2.0359069313523444,0.2581660323286321
58,1000,,2.0570508282369078,1.7086997013685192,2.3394001930409907,2.0379417716408623,2.03577312357182,0.2579559811133657
57,1000,,2.0570508282369078,1.7086997013685192,2.3385863489633687,2.0379417716408623,2.0355696625524144,0.2576367928877964
56,1000,,2.0570508282369078,1.7086997013685192,2.339547713487133,2.0379417716408623,2.0358100036833555,0.2580138648081318
55,1000,,2.0570508282369078,1.7086997013685192,2.338811277320671,2.0379417716408623,2.03562589464174,0.2577249846794845
54,1000,,2.0570508282369078,1.7086997013685192,2.338311713443537,2.0379417716408623,2.0355010036724566,0.25752913713898423
45,1000,,2.0570508282369078,1.7086997013685192,1.5788639055002378,2.0379417716408623,1.8456390516866317,0.2391628731319988
46,1000,,2.0570508282369078,1.7086997013685192,2.3355713994344396,2.0379417716408623,2.0348159251701823,0.25645649959731287
47,1000,,2.0570508282369078,1.7086997013685192,2.338759994465091,2.0379417716408623,2.035613073927845,0.25770487560526956
48,1000,,2.0570508282369078,1.7086997013685192,2.3367805933440193,2.0379417716408623,2.035118223647577,0.25692946408502804
49,1000,,2.0570508282369078,1.7086997013685192,2.3383419663627887,2.0379417716408623,2.0355085669022692,0.2575409947490438
50,1000,,2.0570508282369078,1.7086997013685192,2.3355284368052387,2.0379417716408623,2.034805184512882,0.2564397053562613
51,1000,,2.0570508282369078,1.7086997013685192,2.3405165445946987,2.0379417716408623,2.0360522114602473,0.25839421327277584
62,1000,,2.0570508282369078,1.7086997013685192,2.338705976890108,2.0379417716408623,2.0355995695340994,0.2576836952529102
52,1000,,2.0570508282369078,1.7086997013685192,2.337171535820129,2.0379417716408623,2.035215959266605,0.25708249547540846
53,1000,,2.0570508282369078,1.7086997013685192,2.3398884469734442,2.0379417716408623,2.0358951870549333,0.25814759188736686
1,1500,2.886674025737965,,,,,2.886674025737965,
