,step,loss_x,loss_y,loss_x,loss_y,loss,mean,stderr
0,0,14177.4,17954.4,14571.6,17033.8,19859.7,16719.379999999997,2374.887644079189
1,0,14177.4,17954.4,14571.6,16223.9,19859.7,16557.4,2375.7008534325196
2,0,14177.4,17954.4,16242.1,17033.8,19859.7,17053.48,2098.635777594579
3,0,14177.4,17954.4,16242.1,16223.9,19859.7,16891.5,2131.532112120294
4,0,14177.4,19080.7,14571.6,17033.8,19859.7,16944.64,2566.963804380576
5,0,14177.4,19080.7,14571.6,16223.9,19859.7,16782.66,2585.4178449527267
6,0,14177.4,19080.7,16242.1,17033.8,19859.7,17278.739999999998,2272.737460200804
7,0,14177.4,19080.7,16242.1,16223.9,19859.7,17116.76,2322.8671115670827
8,500,7354.3,,,,,7354.3,
69,1000,,17590.2,18841.6,10138.2,8796.9,13841.725,5106.080412850937
68,1000,,17590.2,18841.6,14489.9,8796.9,14929.650000000001,4479.058001038462
67,1000,,17590.2,18841.6,15082.8,8796.9,15077.875000000002,4469.454626965129
66,1000,,17590.2,18841.6,25086.9,8796.9,17578.9,6710.3931077098605
65,1000,,17590.2,18841.6,21900.0,8796.9,16782.175,5622.896207694039
64,1000,,17590.2,18841.6,21488.0,8796.9,16679.175,5500.336519629201
63,1000,,17590.2,18841.6,14874.7,8796.9,15025.85,4470.589200914498
56,1000,,17590.2,18841.6,22192.2,8796.9,16855.225,5712.727831999351
53,1000,,17590.2,18841.6,17768.6,8796.9,15749.325,4667.785711573172
54,1000,,17590.2,18841.6,12342.3,8796.9,14392.750000000002,4673.8219638749615
55,1000,,17590.2,18841.6,20895.9,8796.9,16531.15,5333.211406835473
70,1000,,17590.2,18841.6,18531.1,8796.9,15939.95,4791.663573680161
57,1000,,17590.2,18841.6,20734.5,8796.9,16490.8,5289.613341256618
58,1000,,17590.2,18841.6,13984.6,8796.9,14803.325,4502.658072276123
59,1000,,17590.2,18841.6,17473.2,8796.9,15675.475,4627.350881714072
62,1000,,17590.2,18841.6,21541.2,8796.9,16692.475,5515.8827382840545
60,1000,,17590.2,18841.6,30484.7,8796.9,18928.35,8906.807797222677
61,1000,,17590.2,18841.6,26977.0,8796.9,18051.425,7441.980629901783
9,1500,19487.5,,,,,19487.5,
10,2000,49918.1,19768.9,18764.7,,20333.6,27196.324999999997,15161.739080632098
11,2500,16351.6,14104.6,,,,15228.1,1588.8689373261723
71,3000,,9202.0,22767.4,,,15984.7,9592.186329507993
72,3000,,602.2,22767.4,,,11684.800000000001,15673.163226356064
12,3500,2805.3,,,,,2805.3,
13,3500,1043.4,,,,,1043.4,
16,4000,470.6,5246.3,4538.2,,6632.6,4221.925,2647.8398256881023
15,4000,470.6,5246.3,4531.3,,6632.6,4220.200000000001,2647.567332477118
14,4000,470.6,5246.3,22704.1,,6632.6,8763.4,9661.33098801609
78,4500,,,,,2157.9,2157.9,
79,4500,,,,,3078.0,3078.0,
77,4500,,,,,2856.5,2856.5,
17,5000,90.5,14578.8,12940.4,,11604.3,9803.5,6588.59826619694
18,5500,71.2,15419.7,,,,7745.450000000001,10853.028431041725
19,6000,0.0,14040.0,15238.5,,24950.1,13557.15,10273.84555996439
20,6000,0.0,14040.0,19861.9,,24950.1,14713.0,10773.960670988177
74,6500,,19515.0,,,6768.5,13141.75,9013.136586394328
73,6500,,19515.0,,,9373.0,14444.0,7171.476974793965
22,7000,50.0,4868.0,19412.1,,,8110.033333333333,10079.97094258378
21,7000,50.0,3496.2,19412.1,,,7652.766666666666,10328.625946530028
23,7500,24805.6,7910.6,18914.6,,12179.5,15952.574999999999,7439.961931074199
25,8000,200.1,14494.3,,,,7347.2,10107.525751636747
24,8000,180.1,14494.3,,,,7337.2,10121.667887260477
26,8500,3673.5,22170.9,29229.5,,14046.8,17280.175,10989.417294644578
27,9000,15826.6,,14583.6,,13602.3,14670.833333333334,1114.7129062378951
75,9500,,30997.4,,,,30997.4,
28,10000,6416.7,,20509.3,,29836.2,18920.733333333334,11790.288508061765
29,10500,161.1,,14025.6,,17598.1,10594.933333333332,9210.82773605789
76,11000,,19249.0,,,,19249.0,
30,11500,1901.5,,28304.5,,,15103.0,18669.740343668414
31,12000,17395.8,34104.7,18362.5,,37064.0,26731.75,10300.810481543025
80,12500,,,,,19646.8,19646.8,
32,13000,32540.7,21811.3,,,,27176.0,7586.831498062944
33,13500,21479.4,,,,19427.7,20453.550000000003,1450.77098296044
81,14000,,,,,22341.9,22341.9,
34,15000,21239.2,,,,22487.0,21863.1,882.3278415645735
35,15500,21245.5,,,,,21245.5,
36,16000,22434.0,,,,,22434.0,
37,16500,2124.2,,,,,2124.2,
38,17500,20907.4,,,,,20907.4,
39,18000,1582.2,,,,,1582.2,
40,19000,9540.0,,,,,9540.0,
41,19500,6341.6,,,,,6341.6,
42,20000,19042.3,,,,,19042.3,
43,21000,10356.5,,,,,10356.5,
44,21500,7520.5,,,,,7520.5,
45,22000,19562.5,,,,,19562.5,
46,23500,10753.8,,,,,10753.8,
47,24000,230.9,,,,,230.9,
48,25000,340.3,,,,,340.3,
49,25000,60.1,,,,,60.1,
50,25500,602.2,,,,,602.2,
51,26000,6810.5,,,,,6810.5,
52,26500,15157.0,,,,,15157.0,
