,step,loss_x,loss_y,loss_x,loss_y,loss,mean,stderr
0,0,21926.5,24576.9,22770.8,22761.9,16936.7,21794.56,2882.9853898346414
1,0,21926.5,24576.9,22770.8,22761.9,11380.9,20683.4,5289.578128735789
2,0,11320.7,24576.9,22770.8,22761.9,16936.7,19673.4,5487.124826354873
3,0,11320.7,24576.9,22770.8,22761.9,11380.9,18562.24,6624.515115689601
4,500,4731.5,,0.0,13129.7,,5953.733333333334,6649.635047379167
5,500,4731.5,,0.0,13129.7,,5953.733333333334,6649.635047379167
6,500,4731.5,,0.0,13129.7,,5953.733333333334,6649.635047379167
7,1000,10668.4,8156.5,,,14512.9,11112.6,3201.396643654141
8,1000,10668.4,8156.5,,,4276.6,7700.5,3220.2063303459295
60,1500,,8347.9,,16827.9,7264.8,10813.533333333335,5236.671767767514
61,1500,,8347.9,,6801.0,7264.8,7471.233333333334,793.842517967722
62,2000,,13991.5,33103.9,13482.4,14931.2,18877.25,9503.400100490351
94,2500,,,470.9,11606.7,,6038.8,7874.199693937157
95,2500,,,321.5,11606.7,,5964.1,7979.841447046427
93,2500,,,460.9,11606.7,,6033.8,7881.270761749022
63,3000,,24110.9,,,,24110.9,
64,3500,,12446.3,,,,12446.3,
65,3500,,11489.3,,,,11489.3,
11,4000,8688.6,,1384.2,,,5036.400000000001,5164.990772499018
10,4000,8688.6,,2524.3,,,5606.450000000001,4358.818331268236
9,4000,8688.6,,1963.1,,,5325.85,4755.646656870126
66,4500,,16786.7,10511.2,11715.2,,13004.366666666669,3330.4561374282252
67,4500,,16786.7,10511.2,8624.9,,11974.266666666668,4273.074755177276
68,5000,,23046.0,7115.0,7112.3,16092.9,13341.550000000001,7731.3163409172
43,5500,6959.4,,30.0,13469.2,0.0,5114.65,6460.519032554584
42,5500,6959.4,,30.0,13469.2,0.0,5114.65,6460.519032554584
40,5500,6959.4,,30.0,13469.2,0.0,5114.65,6460.519032554584
39,5500,6959.4,,30.0,13469.2,0.0,5114.65,6460.519032554584
38,5500,6959.4,,30.0,13469.2,0.0,5114.65,6460.519032554584
37,5500,6959.4,,30.0,13469.2,0.0,5114.65,6460.519032554584
36,5500,6959.4,,30.0,13469.2,4867.8,6331.599999999999,5573.518924342144
35,5500,6959.4,,0.1,13469.2,0.0,5107.175,6468.375661310445
34,5500,6959.4,,0.1,13469.2,0.0,5107.175,6468.375661310445
41,5500,6959.4,,30.0,13469.2,0.0,5114.65,6460.519032554584
32,5500,6959.4,,0.1,13469.2,0.0,5107.175,6468.375661310445
15,5500,6959.4,,9133.3,13469.2,0.0,7390.475,5621.188575010923
16,5500,6959.4,,9133.3,13469.2,0.0,7390.475,5621.188575010923
17,5500,6959.4,,9133.3,13469.2,0.0,7390.475,5621.188575010923
18,5500,6959.4,,9133.3,13469.2,0.0,7390.475,5621.188575010923
19,5500,6959.4,,9133.3,13469.2,0.0,7390.475,5621.188575010923
20,5500,6959.4,,0.0,13469.2,4867.8,6324.099999999999,5584.83394560662
12,5500,6959.4,,9133.3,13469.2,4867.8,8607.425000000001,3679.410378828833
33,5500,6959.4,,0.1,13469.2,0.0,5107.175,6468.375661310445
14,5500,6959.4,,9133.3,13469.2,0.0,7390.475,5621.188575010923
21,5500,6959.4,,0.0,13469.2,0.0,5107.15,6468.401979623716
22,5500,6959.4,,0.0,13469.2,0.0,5107.15,6468.401979623716
23,5500,6959.4,,0.0,13469.2,0.0,5107.15,6468.401979623716
13,5500,6959.4,,9133.3,13469.2,0.0,7390.475,5621.188575010923
31,5500,6959.4,,0.1,13469.2,0.0,5107.175,6468.375661310445
24,5500,6959.4,,0.0,13469.2,0.0,5107.15,6468.401979623716
30,5500,6959.4,,0.1,13469.2,0.0,5107.175,6468.375661310445
29,5500,6959.4,,0.1,13469.2,0.0,5107.175,6468.375661310445
28,5500,6959.4,,0.1,13469.2,4867.8,6324.125,5584.79620002676
27,5500,6959.4,,0.0,13469.2,0.0,5107.15,6468.401979623716
26,5500,6959.4,,0.0,13469.2,0.0,5107.15,6468.401979623716
25,5500,6959.4,,0.0,13469.2,0.0,5107.15,6468.401979623716
78,6000,,0.0,4969.8,20622.4,8395.0,8496.8,8787.792249099506
80,6000,,0.0,4969.8,20622.4,8395.0,8496.8,8787.792249099506
69,6000,,16882.0,5571.8,20622.4,8395.0,12867.8,7058.9229263394
70,6000,,16882.0,4969.8,20622.4,8395.0,12717.3,7269.602594365115
71,6000,,0.0,5571.8,20622.4,8395.0,8647.3,8712.083042916123
72,6000,,0.0,4969.8,20622.4,8395.0,8496.8,8787.792249099506
73,6000,,0.0,5571.8,20622.4,8395.0,8647.3,8712.083042916123
74,6000,,0.0,4969.8,20622.4,8395.0,8496.8,8787.792249099506
75,6000,,0.0,5571.8,20622.4,8395.0,8647.3,8712.083042916123
79,6000,,0.0,5571.8,20622.4,8395.0,8647.3,8712.083042916123
77,6000,,0.0,5571.8,20622.4,8395.0,8647.3,8712.083042916123
76,6000,,0.0,4969.8,20622.4,8395.0,8496.8,8787.792249099506
84,6000,,0.0,4969.8,20622.4,8395.0,8496.8,8787.792249099506
85,6000,,0.2,5571.8,20622.4,8395.0,8647.35,8712.016872305363
86,6000,,0.2,4969.8,20622.4,8395.0,8496.85,8787.727790314551
87,6000,,0.0,5571.8,20622.4,8395.0,8647.3,8712.083042916123
88,6000,,0.0,4969.8,20622.4,8395.0,8496.8,8787.792249099506
89,6000,,0.0,5571.8,20622.4,8395.0,8647.3,8712.083042916123
90,6000,,0.0,4969.8,20622.4,8395.0,8496.8,8787.792249099506
81,6000,,0.0,5571.8,20622.4,8395.0,8647.3,8712.083042916123
83,6000,,0.0,5571.8,20622.4,8395.0,8647.3,8712.083042916123
82,6000,,0.0,4969.8,20622.4,8395.0,8496.8,8787.792249099506
44,6500,9608.2,9870.5,,19139.0,6832.1,11362.449999999999,5363.522129161023
91,7000,,8452.4,21048.4,32545.1,7384.3,17357.55,11875.064362071194
92,7000,,8452.4,21048.4,32545.1,1685.0,15932.725,13675.94071874034
46,7500,24722.3,13464.8,3779.5,,1525.5,10873.025,10586.375461373294
45,7500,24722.3,13464.8,16590.2,,1525.5,14075.7,9618.619454994567
48,8000,14730.3,19970.8,8859.0,20748.1,913.8,13044.4,8289.048482485792
50,8000,14730.3,19970.8,8859.0,20748.1,632.7,12988.179999999998,8392.20376403004
49,8000,14730.3,19970.8,8859.0,20748.1,541.4,12969.92,8425.839947269353
47,8000,14730.3,19970.8,8859.0,20748.1,7101.8,14282.0,6231.734681852236
52,8500,9235.4,14461.9,18323.9,20026.7,14532.3,15316.039999999999,4169.997774339935
51,8500,9235.4,14461.9,11868.8,20026.7,14532.3,14025.02,4001.8153501879624
53,9000,7393.2,20487.7,,18137.8,,15339.566666666666,6981.336899429316
54,9500,17243.2,,19344.6,,,18293.9,1485.9141899854096
55,10000,24672.4,13102.8,11304.7,28910.8,12702.5,18138.64,8067.581566553882
57,10500,10275.3,11544.1,3857.5,29582.8,8932.3,12838.4,9804.766793249088
56,10500,10275.3,11544.1,9846.0,29582.8,8932.3,14036.1,8741.55698345552
58,11000,18144.9,,,7303.7,10316.7,11921.766666666668,5595.9881713003415
59,11000,18144.9,,,3427.2,10316.7,10629.6,7363.837527403766
96,11500,,,,8133.8,,8133.8,
