,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,step,loss_x,loss_y,loss_x.1,loss_y.1,loss,mean,stderr
0,0,0,0,0,0,14983.2,24857.9,24391.6,13407.3,18667.0,19261.4,5257.5316855916335
1,1,1,1,1,0,14732.7,24857.9,24391.6,13407.3,18667.0,19211.3,5309.428785189608
2,2,2,2,2,500,14171.1,,4191.4,11805.6,,10056.033333333333,5214.819331801758
3,3,3,3,3,1000,11347.1,,15071.7,,9642.2,12020.333333333334,2776.652643622053
4,4,4,4,31,1500,,2885.0,7326.5,19930.9,16230.8,11593.3,7854.129511282584
5,5,5,5,30,1500,,11838.0,7326.5,19930.9,16230.8,13831.55,5454.306802579653
6,6,6,6,4,2000,21011.3,11288.0,15394.4,14550.1,7086.9,13866.14,5159.011343561865
7,7,7,7,5,2500,15378.2,18190.2,,23573.9,3433.1,15143.85,8515.526540972085
8,8,8,8,37,3000,,,15458.9,,4086.9,9772.9,8041.218315653418
9,9,9,9,6,3500,25402.5,13814.7,,28716.2,11368.0,19825.35,8520.690470652404
10,10,10,10,7,3500,25402.5,321.5,,28716.2,11368.0,16452.05,13122.018875792955
11,11,11,11,8,4000,17016.5,14980.3,,17470.8,14395.3,15965.725,1506.2841661408604
12,12,12,12,9,4500,14167.6,,,25199.0,29097.2,22821.266666666663,7743.607098331716
13,13,13,13,10,5000,2154.7,9120.4,,,27053.7,12776.266666666668,12845.78028238586
14,14,14,14,11,5500,4347.7,,4918.6,,,4633.15,403.6872613794004
15,15,15,15,12,5500,10147.2,,4918.6,,,7532.900000000001,3697.178516111983
16,16,16,16,38,6000,,,18526.0,50919.4,23582.6,31009.33333333333,17427.001087201817
17,17,17,17,13,6500,14753.0,,,22357.8,23193.6,20101.466666666667,4650.721683065256
18,18,18,18,14,7000,9994.4,28299.4,8473.1,25464.6,,18057.875,10273.525043000902
19,19,19,19,15,7500,25642.1,23340.7,1431.1,,45973.9,24096.95,18214.47318398202
20,20,20,20,16,7500,25642.1,23340.7,622.0,,45973.9,23894.675000000003,18551.45960733279
21,21,21,21,35,8000,,130.9,,34192.6,16113.2,16812.233333333334,17041.60606936251
22,22,22,22,34,8000,,161.2,,34192.6,16113.2,16822.333333333332,17026.778880731763
23,23,23,23,33,8000,,81.1,,34192.6,16113.2,16795.63333333333,17065.986479056326
24,24,24,24,32,8000,,1254.2,,34192.6,16113.2,17186.666666666668,16495.417444045885
25,25,25,25,17,8500,33458.1,12274.1,5702.0,17123.5,12511.2,16213.78,10463.291292275102
26,26,26,26,18,9000,23572.5,14290.7,,18525.3,13946.3,17583.7,4502.84590601692
27,27,27,27,19,9500,9031.4,,26209.7,,,17620.55,12146.89241925687
28,28,28,28,20,9500,4767.5,,26209.7,,,15488.6,15161.92502355819
29,29,29,29,24,10000,6581.9,12576.4,21776.9,2984.4,23719.5,13527.820000000002,9113.621289421675
30,30,30,30,23,10000,6581.9,12576.4,21776.9,2816.5,23719.5,13494.24,9162.360569089167
31,31,31,31,22,10000,6581.9,22411.9,21776.9,2984.4,23719.5,15494.920000000002,9885.679508865338
32,32,32,32,21,10000,6581.9,22411.9,21776.9,2816.5,23719.5,15461.340000000002,9938.941371594865
33,33,33,33,25,10500,7484.0,,16651.3,4147.2,21966.4,12562.225,8200.814119900944
34,34,34,34,28,11000,50.1,18833.7,,,,9441.9,13282.010935095635
35,35,35,35,29,11000,350.4,18833.7,,,,9592.05,13069.666768705314
36,36,36,36,26,11000,4195.7,18833.7,,,,11514.7,10350.629063008684
37,37,37,37,27,11000,440.6,18833.7,,,,9637.15,13005.885737042288
38,38,38,38,36,11500,,17383.2,,,,17383.2,
