,step,loss_x,loss_y,loss_x,loss_y,loss,mean,stderr
22,500,,1.9260239018646303,1.2059360250879663,,,1.5659799634762983,0.5091790207190022
0,1000,2.0175298412475446,2.8315163469754454,,,1.8492334396300383,2.2327598759510097,0.5253217141852956
31,1500,,,1.9057908786883133,1.78984568676884,2.824295328232539,2.1733106312298975,0.5667421183228107
1,2000,3.6002172231130345,3.4516643841232573,,2.9765039381574856,3.2054441194233796,3.308457416204289,0.27473433924976454
2,2000,3.6002172231130345,3.4516643841232573,,3.1671933227354643,3.2054441194233796,3.356129762348784,0.20583868575297118
3,2000,3.6002172231130345,3.4516643841232573,,3.127343474533798,3.2054441194233796,3.346167300298367,0.218599998730948
33,2500,,,3.0024784372470146,2.764803685060006,3.4431638858145086,3.070148669373843,0.3442057316910867
32,2500,,,3.0024784372470146,2.83684501348789,3.4431638858145086,3.094162445516471,0.31338492587251365
4,3000,4.019260708601181,3.779618773779357,,,2.926457367081052,3.5751122831538638,0.574388339314402
23,3500,,3.7564106212989046,2.985293759861475,3.1187497236823023,,3.286818034947561,0.41211712101894626
5,4000,3.956589075610811,,,3.0083985097859656,2.8546137469570234,3.273200444117933,0.5968060443392557
6,4500,3.9685600004816366,3.3262672281722856,2.9166898214100585,2.9441365175915974,3.1638974922888123,3.2639102119888777,0.4281470195079561
7,4500,3.9685600004816366,3.3262672281722856,2.412123890616504,2.9441365175915974,3.1638974922888123,3.162997025830167,0.5672962328435746
8,4500,3.9685600004816366,3.3262672281722856,2.393864269377106,2.9441365175915974,3.1638974922888123,3.1593451015822875,0.5733646554122365
40,5000,,,,2.3759237024837137,,2.3759237024837137,
41,5000,,,,2.011273111775613,,2.011273111775613,
9,5500,3.4778651777351923,,2.529890933395273,2.098590701529145,,2.70211560421987,0.7055816913078506
10,5500,3.0218907273461886,,2.529890933395273,2.098590701529145,,2.5501241207568692,0.4619824356201709
11,6000,3.1103044528817114,2.9400228083726487,,,2.967580957892258,3.005969406382206,0.09140139138589058
35,6500,,,2.4550263263009793,1.6319141945111777,2.8448224911285585,2.310587670646905,0.619220096521573
34,6500,,,2.4550263263009793,2.0562425877036303,2.8448224911285585,2.452030468377723,0.39429848769040376
12,7000,3.0463894694038793,2.8265241882184635,2.0942693644386505,2.0155372597586916,2.6029784223007963,2.5171397408240965,0.4510035185462217
13,7500,2.9306301232899723,,,2.3286190801716877,2.470221558214109,2.576490253891923,0.3147603862780212
24,8000,,2.6896699279685174,1.8214896978823538,2.506966671049349,,2.339375432300073,0.4577109846368705
25,8000,,2.6896699279685174,1.8214896978823538,2.324472280106616,,2.2785439686524955,0.4359085745003028
26,8000,,2.6896699279685174,0.9747486368087042,2.506966671049349,,2.05712841194219,0.9418092180668702
27,8000,,2.6896699279685174,0.9747486368087042,2.324472280106616,,1.9962969482946127,0.9033344037651556
37,8500,,,1.2407400374853972,,2.4388942302238883,1.8398171338546427,0.8472229545924806
36,8500,,,0.7450517355304542,,2.4388942302238883,1.5919729828771714,1.1977275142596657
14,9000,2.73432030211713,2.2832206905308916,1.4845386508077576,2.327726906830278,2.2228601076055012,2.2105333315783113,0.4529323356342633
15,9000,2.73432030211713,2.2832206905308916,1.4845386508077576,2.327726906830278,2.2605738717671793,2.2180760844106473,0.45350260288838373
28,9500,,2.371448048884759,0.8373422355965581,2.065082322131804,1.4168193983960056,1.6726730012522817,0.6844730811489018
16,10000,2.55419008493203,2.274311757190284,0.8153981886480984,2.5135753563192997,1.3220729908670328,1.895909675591349,0.7833941760028876
17,10000,2.55419008493203,2.274311757190284,0.8153981886480984,2.5135753563192997,1.0937907838076193,1.8502532341794662,0.8304380414260226
38,10500,,,1.6094876233233155,2.1273668961546623,1.2009591600906993,1.645937893189559,0.4642782463025603
39,10500,,,1.6094876233233155,2.1273668961546623,1.3936543650415223,1.7101696281731666,0.37707581353562275
21,11000,2.549922567349248,2.3347125141473857,1.8375060384662003,1.1186919818903187,1.7309686403648243,1.9143603484435954,0.5597460429515901
19,11000,2.549922567349248,2.3347125141473857,1.8375060384662003,1.151797794425194,1.7309686403648243,1.9209815109505706,0.5480549312552171
18,11000,2.549922567349248,2.3347125141473857,1.8375060384662003,1.9142675592908742,1.7309686403648243,2.0734754639237067,0.35127848269032774
20,11000,2.549922567349248,2.3347125141473857,1.8375060384662003,1.0359727522385724,1.7309686403648243,1.8978165025132463,0.589569897434201
29,12000,,2.1816254772585317,,,,2.1816254772585317,
30,12500,,2.175421581398063,,,,2.175421581398063,
