,step,loss_x,loss_y,loss_x,loss_y,loss,mean,stderr
0,0,12342.0,20338.6,12110.5,21628.4,14133.8,16110.66,4539.630630128403
1,0,12342.0,20338.6,12110.5,21628.4,13502.7,15984.439999999999,4616.459885345047
2,0,17994.2,20338.6,12110.5,21628.4,14133.8,17241.100000000002,4043.155846612891
3,0,17994.2,20338.6,12110.5,21628.4,13502.7,17114.88,4172.202674487423
26,500,,16412.3,6893.4,,,11652.849999999999,6730.878739436627
4,1000,28938.4,9657.2,,,15653.7,18083.100000000002,9867.50508639342
35,1500,,,23452.9,12806.1,12199.1,16152.699999999999,6329.439333779889
5,2000,54292.2,19143.7,,18717.9,24275.3,29107.274999999998,16978.813948835374
6,2000,54292.2,19143.7,,2248.0,24275.3,24989.8,21683.384640933404
7,2000,54292.2,19143.7,,1155.3,24275.3,24716.625,22068.85386804595
36,2500,,,19607.2,91.0,15342.0,11680.066666666666,10260.498643503313
37,2500,,,19607.2,10.2,15342.0,11653.133333333333,10306.134348694146
8,3000,25506.3,16651.9,,,2662.0,14940.066666666666,11517.955141574972
27,3500,,37571.5,12892.6,24895.7,,25119.933333333334,12340.977949228063
9,4000,27162.8,,,10802.2,3386.0,13783.666666666666,12165.562550631736
11,4500,15302.7,45992.1,803.3,12113.6,20182.9,18878.920000000002,16748.96889459169
10,4500,15302.7,45992.1,13752.6,12113.6,20182.9,21468.780000000006,14036.791659670665
12,4500,15302.7,45992.1,1463.8,12113.6,20182.9,19011.02,16572.439095588794
44,5000,,,,16066.0,,16066.0,
45,5000,,,,2525.8,,2525.8,
13,5500,10490.1,,19429.1,2627.5,,10848.9,8406.54469565231
14,5500,351.5,,19429.1,2627.5,,7469.366666666666,10419.762955717051
15,6000,30.5,31689.0,,,15666.8,15795.433333333334,15829.64198784462
39,6500,,,21864.5,2255.2,20848.4,14989.366666666669,11039.80821044158
38,6500,,,21864.5,4639.2,20848.4,15784.033333333335,9665.070994221065
16,7000,4005.5,45910.3,21084.6,4628.1,12960.9,17717.879999999997,17234.760757318334
17,7500,20975.5,,,12707.3,8634.7,14105.833333333334,6288.144223324822
28,8000,,9219.5,24288.2,15701.4,,16403.033333333333,7558.8125339456155
29,8000,,9219.5,24288.2,19363.8,,17623.833333333332,7683.55665843191
30,8000,,9219.5,2034.4,15701.4,,8985.1,6836.514445973182
31,8000,,9219.5,2034.4,19363.8,,10205.9,8706.708035187581
41,8500,,,4067.7,,17949.5,11008.6,9815.914915075417
40,8500,,,2165.1,,17949.5,10057.3,11161.256276960941
18,9000,20113.6,15080.0,13732.8,16423.5,13500.2,15770.019999999999,2695.9320785212667
19,9000,20113.6,15080.0,13732.8,16423.5,16997.3,16469.44,2396.8933420158683
32,9500,,22126.8,1476.2,11811.3,3447.1,9715.35,9409.421666429167
20,10000,29211.7,10374.6,2617.0,29179.2,2715.8,14819.66,13495.3149347468
21,10000,29211.7,10374.6,2617.0,29179.2,1984.0,14673.3,13662.336323264773
42,10500,,,18020.7,5469.1,2765.0,8751.6,8140.343992117287
43,10500,,,18020.7,5469.1,4486.9,9325.566666666668,7546.203480779811
25,11000,45192.6,30503.2,18405.1,640.1,13001.1,21548.420000000002,17024.47001926932
24,11000,45192.6,30503.2,18405.1,0.0,13001.1,21420.4,17222.259806860424
23,11000,45192.6,30503.2,18405.1,70.3,13001.1,21434.46,17200.415524428474
22,11000,45192.6,30503.2,18405.1,2619.0,13001.1,21944.2,16429.487248694037
33,12000,,29622.5,,,,29622.5,
34,12500,,14591.6,,,,14591.6,
