,step,loss_x,loss_y,loss_x,loss_y,loss,mean,stderr
0,1000,1.4587072508859973,1.5535258038839945,2.3840126150267387,,1.5901886182541098,1.74660857201271,0.42853208438389856
97,1500,,2.6657093415210764,2.807482211519276,2.7175109059312437,,2.730234152990532,0.07173769879693924
1,2000,2.8354882923593427,,,,2.7308748508687413,2.7831815716140422,0.07397287388126643
2,2500,3.6972769750458263,3.280097998132387,3.3703329770393937,3.276415543013498,,3.406030873307776,0.198962186083046
99,3000,,3.1060489402117453,2.1604854427880893,3.1869840209757863,,2.817839467991874,0.5707217865679245
100,3000,,3.1060489402117453,2.158630449627025,3.1869840209757863,,2.8172211369381857,0.5717900767627142
98,3000,,3.1060489402117453,2.943584973247462,3.1869840209757863,,3.078872644811664,0.12395437621366212
22,3500,3.299923583139568,2.9691749264516667,2.4046058461883555,,3.224446539402795,2.974537723795596,0.40545508517692175
23,3500,3.299923583139568,2.9691749264516667,2.4046058461883555,,3.1905865407952616,2.9660727241437126,0.3987971617333851
24,3500,3.299923583139568,2.9691749264516667,2.4046058461883555,,3.339969286887861,3.0034184106668627,0.43240833833184156
25,3500,3.299923583139568,2.9691749264516667,2.4046058461883555,,3.2845562857385575,2.989565160379537,0.41870247014529943
29,3500,3.299923583139568,2.910488881564808,2.4046058461883555,,3.2362649011810154,2.9628208030184364,0.4093704627095853
21,3500,3.299923583139568,2.9691749264516667,2.4046058461883555,,3.2362649011810154,2.977492314240151,0.40791880692634586
30,3500,3.299923583139568,2.910488881564808,2.4046058461883555,,3.224446539402795,2.9598662125738815,0.4067734668162413
31,3500,3.299923583139568,2.910488881564808,2.4046058461883555,,3.1905865407952616,2.951401212921998,0.399723427530575
32,3500,3.299923583139568,2.910488881564808,2.4046058461883555,,3.339969286887861,2.988746899445148,0.434945659969354
33,3500,3.299923583139568,2.910488881564808,2.4046058461883555,,3.2845562857385575,2.9748936491578224,0.42067864171390257
34,3500,3.299923583139568,2.910488881564808,2.4046058461883555,,3.336811832821747,2.9879575359286195,0.4340978082586854
28,3500,3.299923583139568,2.910488881564808,2.4046058461883555,,3.3617557655784838,2.994193519117804,0.440905495349519
20,3500,3.299923583139568,2.9691749264516667,2.4046058461883555,,3.3617557655784838,3.0088650303395186,0.43815956688296953
27,3500,3.299923583139568,2.910488881564808,2.4046058461883555,,3.4102479352683686,3.0063165615402747,0.4548275743008082
18,3500,3.5054671351246,2.910488881564808,2.4046058461883555,,3.336811832821747,3.0393434239248776,0.49168216499139894
3,3500,3.5054671351246,2.9691749264516667,2.4046058461883555,,3.4102479352683686,3.072373960758248,0.5027566727062668
4,3500,3.5054671351246,2.9691749264516667,2.4046058461883555,,3.3617557655784838,3.0602509183357762,0.4923711166493123
19,3500,3.299923583139568,2.9691749264516667,2.4046058461883555,,3.4102479352683686,3.0209880727619893,0.45164141782116296
5,3500,3.5054671351246,2.9691749264516667,2.4046058461883555,,3.2362649011810154,3.0288782022364096,0.47025762780128016
6,3500,3.5054671351246,2.9691749264516667,2.4046058461883555,,3.224446539402795,3.025923611791854,0.4685543450159459
7,3500,3.5054671351246,2.9691749264516667,2.4046058461883555,,3.1905865407952616,3.017458612139971,0.4640565429716164
8,3500,3.5054671351246,2.9691749264516667,2.4046058461883555,,3.339969286887861,3.0548042986631208,0.48802543638032825
9,3500,3.5054671351246,2.9691749264516667,2.4046058461883555,,3.2845562857385575,3.0409510483757947,0.47791412566988495
26,3500,3.299923583139568,2.9691749264516667,2.4046058461883555,,3.336811832821747,3.002629047150334,0.4315912813641673
11,3500,3.5054671351246,2.910488881564808,2.4046058461883555,,3.4102479352683686,3.0577024495365333,0.5076050108334133
12,3500,3.5054671351246,2.910488881564808,2.4046058461883555,,3.3617557655784838,3.0455794071140616,0.49684362661554826
13,3500,3.5054671351246,2.910488881564808,2.4046058461883555,,3.2362649011810154,3.014206691014695,0.47364446816129946
14,3500,3.5054671351246,2.910488881564808,2.4046058461883555,,3.224446539402795,3.0112521005701396,0.4718309278363038
17,3500,3.5054671351246,2.910488881564808,2.4046058461883555,,3.2845562857385575,3.02627953715408,0.4817375796250024
15,3500,3.5054671351246,2.910488881564808,2.4046058461883555,,3.1905865407952616,3.0027871009182565,0.46701021445426777
16,3500,3.5054671351246,2.910488881564808,2.4046058461883555,,3.339969286887861,3.040132787441406,0.49232103920221476
10,3500,3.5054671351246,2.9691749264516667,2.4046058461883555,,3.336811832821747,3.054014935146592,0.48741261305544026
40,4000,2.5107963795791397,2.9928611131042975,2.825161851086602,,2.9045570541631083,2.808344099483287,0.209857843434538
36,4000,2.7864012343475455,2.9928611131042975,2.825161851086602,,2.9045570541631083,2.877245313175388,0.09142989677017616
38,4000,2.4838649539884043,2.9928611131042975,2.825161851086602,,2.9045570541631083,2.801611243085603,0.22262950401420306
37,4000,2.4838649539884043,2.9928611131042975,2.825161851086602,,2.9006144750223544,2.8006255983004147,0.22202972932002948
35,4000,2.7864012343475455,2.9928611131042975,2.825161851086602,,2.9006144750223544,2.8762596683901998,0.09105781792775824
39,4000,2.5107963795791397,2.9928611131042975,2.825161851086602,,2.9006144750223544,2.8073584546980985,0.20926374660088173
42,4500,3.2019500501809697,2.7530550302766503,3.3940984141869834,3.1997403970410137,,3.1372109729214044,0.2718259386411372
41,4500,3.2019500501809697,2.7530550302766503,2.6724711765869764,3.1997403970410137,,2.9568041635214026,0.28370963798682197
43,5000,2.833140783610843,,2.911646432898728,3.0419280053674944,,2.9289050739590223,0.10545815051787755
44,5500,3.197905755444539,,2.5657928350435806,,,2.8818492952440597,0.44697133249114995
45,5500,3.197905755444539,,1.8715389578560289,,,2.534722356650284,0.9378829569155204
46,5500,3.197905755444539,,1.8483614528869274,,,2.523133604165733,0.9542719278501569
47,6000,3.0047804888427123,,1.963535428721335,3.2431863996071035,2.8273186640384287,2.7597052453023947,0.5574566807660342
48,6000,3.0047804888427123,,2.409139727712561,3.2431863996071035,2.8273186640384287,2.8711063200502016,0.35196726185849364
133,6500,,,,,2.553115815958955,2.553115815958955,
50,7000,2.8974748459788553,2.6038275483388116,1.6625747859479798,2.679174910697359,2.004869869104885,2.369584392013578,0.5153308993310305
49,7000,2.8974748459788553,2.6038275483388116,1.6625747859479798,3.007866462968521,2.004869869104885,2.4353227024678104,0.5814236469129174
101,7500,,2.460794088321711,2.2516035518733197,2.2161896352566615,,2.3095290918172307,0.13219062276938656
51,8000,2.623172713352104,,,2.4083116381990903,2.192041744782647,2.4078420321112803,0.2155658679204986
115,8500,,,3.311861983093388,,1.9790830422261387,2.6454725126597634,0.9424170269098565
116,8500,,,3.311861983093388,,1.6599324013788164,2.485897192236102,1.1680906092730305
117,8500,,,3.311861983093388,,1.698880555381773,2.5053712692375805,1.140550105462842
54,9000,2.4274925761599127,1.7552467267250484,3.293005196981478,2.3334467988849115,1.287160566613942,2.2192703730730585,0.7572063539436447
52,9000,2.4274925761599127,1.7552467267250484,3.293005196981478,2.3334467988849115,1.3028504859713057,2.2224083569445314,0.7523950646560227
53,9000,2.4274925761599127,1.7552467267250484,3.293005196981478,2.3334467988849115,1.294594015364419,2.220757062823154,0.7549225910294564
120,9500,,,3.014426460856826,2.1023227945691927,0.8417351692376662,1.986161474887895,1.090993561535543
123,9500,,,3.014426460856826,2.1023227945691927,0.8293360605771843,1.9820284386677345,1.097500826147694
122,9500,,,3.014426460856826,2.1023227945691927,0.8378759340957485,1.9848750631739225,1.0930180813204338
121,9500,,,3.014426460856826,2.1023227945691927,0.8087194749813433,1.9751562434691206,1.1083385428983294
119,9500,,,3.014426460856826,2.1023227945691927,0.8679218256987531,1.9948903603749237,1.077277509802582
118,9500,,,3.014426460856826,2.1023227945691927,0.9052557086782229,2.007334988034747,1.0577888863114806
55,10000,2.169550904559242,1.4280791948695808,2.7964075717644823,2.23876934789494,1.0508456013975647,1.9367305240971617,0.6942614201288139
56,10000,2.169550904559242,1.4280791948695808,2.7964075717644823,2.23876934789494,1.3401946163835174,1.9946003270943522,0.6087516119789154
57,10000,2.169550904559242,1.4280791948695808,2.7964075717644823,2.23876934789494,1.407756843865069,2.0081127725906627,0.591087897234621
