,step,loss_x,loss_y,loss_x,loss_y,loss,mean,stderr
0,0,19869.9,14275.6,13732.0,16997.7,17722.6,16519.559999999998,2535.0812833122336
14,0,19869.9,13711.3,17270.1,10621.6,17722.6,15839.1,3660.345645564091
13,0,19869.9,13711.3,17270.1,16997.7,15697.9,16709.379999999997,2258.2071145047794
12,0,19869.9,13711.3,17270.1,16997.7,17722.6,17114.32,2212.5572562083003
11,0,19869.9,13711.3,13732.0,10621.6,15697.9,14726.539999999999,3401.030976483455
10,0,19869.9,13711.3,13732.0,10621.6,17722.6,15131.48,3656.5352476080416
9,0,19869.9,13711.3,13732.0,16997.7,15697.9,16001.759999999998,2571.2230510012164
15,0,19869.9,13711.3,17270.1,10621.6,15697.9,15434.159999999998,3508.7392376749804
8,0,19869.9,13711.3,13732.0,16997.7,17722.6,16406.7,2668.9805778611435
6,0,19869.9,14275.6,17270.1,10621.6,17722.6,15951.959999999997,3586.287547450706
5,0,19869.9,14275.6,17270.1,16997.7,15697.9,16822.239999999998,2077.8060539906032
4,0,19869.9,14275.6,17270.1,16997.7,17722.6,17227.18,1999.7335865059626
3,0,19869.9,14275.6,13732.0,10621.6,15697.9,14839.4,3368.1224198357163
2,0,19869.9,14275.6,13732.0,10621.6,17722.6,15244.34,3610.156939524929
1,0,19869.9,14275.6,13732.0,16997.7,15697.9,16114.619999999999,2455.325148936491
7,0,19869.9,14275.6,17270.1,10621.6,15697.9,15547.019999999999,3448.0187045606353
16,1000,7541.2,16203.2,13196.5,,11136.0,12019.225,3638.8834151655183
113,1500,,13509.1,12727.3,11338.5,,12524.966666666667,1099.3544348085986
17,2000,29608.2,,,,19007.0,24307.6,7496.180408714828
18,2500,20824.6,15810.8,18171.9,12024.4,,16707.925,3734.0985323323575
115,3000,,9051.5,0.0,10859.8,,6637.099999999999,5818.574527321963
116,3000,,9051.5,0.0,10859.8,,6637.099999999999,5818.574527321963
114,3000,,9051.5,9254.8,10859.8,,9722.033333333333,990.5642146440244
38,3500,1142.7,1411.8,1713.4,,3198.8,1866.675,918.1687040880162
39,3500,1142.7,1411.8,1713.4,,2194.6,1615.625,450.9156194160203
40,3500,1142.7,1411.8,1713.4,,1735.0,1500.725,280.59756918642995
41,3500,1142.7,1411.8,1713.4,,1675.0,1485.725,265.0735668325556
42,3500,1142.7,1411.8,1713.4,,2384.6,1663.125,534.4967064133011
45,3500,1142.7,0.0,1713.4,,1765.3,1155.3500000000001,820.2545235067792
46,3500,1142.7,0.0,1713.4,,3198.8,1513.7250000000001,1330.209355389845
47,3500,1142.7,0.0,1713.4,,2194.6,1262.6750000000002,945.2300227105217
48,3500,1142.7,0.0,1713.4,,1735.0,1147.775,812.8505495066934
49,3500,1142.7,0.0,1713.4,,1675.0,1132.775,798.8347863190069
50,3500,1142.7,0.0,1713.4,,2384.6,1310.1750000000002,1010.2121703714853
44,3500,1142.7,0.0,1713.4,,3557.2,1603.325,1484.6515267339112
37,3500,1142.7,1411.8,1713.4,,1765.3,1508.3,289.3041191088252
43,3500,1142.7,0.0,1713.4,,2645.2,1375.325,1106.4222321669668
35,3500,1142.7,1411.8,1713.4,,2645.2,1728.2749999999999,654.2240257230952
19,3500,10752.9,1411.8,1713.4,,2645.2,4130.825,4445.821991019583
20,3500,10752.9,1411.8,1713.4,,3557.2,4358.825,4366.922162786203
36,3500,1142.7,1411.8,1713.4,,3557.2,1956.2749999999999,1092.4447243834964
21,3500,10752.9,1411.8,1713.4,,1765.3,3910.8499999999995,4564.028571704315
22,3500,10752.9,1411.8,1713.4,,3198.8,4269.224999999999,4392.454524427847
23,3500,10752.9,1411.8,1713.4,,2194.6,4018.1749999999997,4501.374791753441
24,3500,10752.9,1411.8,1713.4,,1735.0,3903.2749999999996,4568.799233478457
25,3500,10752.9,1411.8,1713.4,,1675.0,3888.2749999999996,4578.37934599497
34,3500,10752.9,0.0,1713.4,,2384.6,3712.725,4799.639133223108
27,3500,10752.9,0.0,1713.4,,2645.2,3777.875,4777.318737098597
28,3500,10752.9,0.0,1713.4,,3557.2,4005.875,4726.737132085233
29,3500,10752.9,0.0,1713.4,,1765.3,3557.8999999999996,4866.2878535217515
30,3500,10752.9,0.0,1713.4,,3198.8,3916.2749999999996,4741.451251375117
33,3500,10752.9,0.0,1713.4,,1675.0,3535.325,4877.572194835596
31,3500,10752.9,0.0,1713.4,,2194.6,3665.225,4818.069112812033
32,3500,10752.9,0.0,1713.4,,1735.0,3550.325,4870.030545677649
26,3500,10752.9,1411.8,1713.4,,2384.6,4065.6749999999997,4476.652080424239
56,4000,90.5,5267.7,10382.3,,1985.6,4431.525,4506.956063963792
52,4000,321.9,5267.7,10382.3,,1985.6,4489.374999999999,4433.549818805845
54,4000,150.2,5267.7,10382.3,,1985.6,4446.45,4487.847055103371
53,4000,150.2,5267.7,10382.3,,1844.3,4411.125,4514.152709257851
51,4000,321.9,5267.7,10382.3,,1844.3,4454.049999999999,4460.628994136739
55,4000,90.5,5267.7,10382.3,,1844.3,4396.2,4532.995755568275
58,4500,5371.1,4878.8,240.9,14023.8,,6128.65,5748.478077137751
57,4500,5371.1,4878.8,4930.9,14023.8,,7301.15,4487.203309040795
59,5000,6298.2,,3779.2,14428.6,,8168.666666666667,5565.645897228222
60,5500,21336.7,,3114.9,,,12225.800000000001,12884.758345425033
61,5500,21336.7,,0.0,,,10668.35,15087.32525814301
62,5500,21336.7,,0.0,,,10668.35,15087.32525814301
63,6000,24084.4,,581.0,17557.7,22206.7,16107.45,10708.352760501184
64,6000,24084.4,,3880.5,17557.7,22206.7,16932.325,9123.457644400323
149,6500,,,,,20067.1,20067.1,
65,7000,16542.0,15700.5,2513.0,22558.0,7722.9,13007.28,7890.160275114822
66,7000,16542.0,15700.5,2513.0,9437.8,7722.9,10383.240000000002,5833.427851872345
117,7500,,22283.0,17122.9,5463.4,,14956.433333333334,8616.549158644273
67,8000,18358.5,,,12634.5,34237.6,21743.533333333333,11192.28843460234
133,8500,,,17092.0,,521.5,8806.75,11717.112917651686
132,8500,,,17092.0,,511.2,8801.6,11724.396117497907
131,8500,,,17092.0,,8486.4,12789.2,6085.078116178954
70,9000,22551.0,16468.7,11172.5,20068.6,90.8,14070.319999999998,8908.95424598196
68,9000,22551.0,16468.7,11172.5,20068.6,120.6,14076.279999999999,8897.266350795619
69,9000,22551.0,16468.7,11172.5,20068.6,121.3,14076.419999999998,8896.991858319305
139,9500,,,15169.6,18935.7,0.0,11368.433333333334,10023.813378317323
138,9500,,,15169.6,18935.7,0.0,11368.433333333334,10023.813378317323
137,9500,,,15169.6,18935.7,0.0,11368.433333333334,10023.813378317323
136,9500,,,15169.6,18935.7,0.0,11368.433333333334,10023.813378317323
135,9500,,,15169.6,18935.7,0.0,11368.433333333334,10023.813378317323
134,9500,,,15169.6,18935.7,0.1,11368.466666666667,10023.756671195353
74,10000,23507.4,6120.8,15891.9,10780.0,1304.9,11521.0,8614.790943778033
71,10000,23507.4,6120.8,15891.9,10780.0,741.6,11408.34,8783.817447328924
72,10000,23507.4,6120.8,15891.9,10780.0,1233.0,11506.619999999999,8636.140672893187
73,10000,23507.4,6120.8,15891.9,10780.0,1073.4,11474.7,8683.769632481048
75,10000,14355.8,6120.8,15891.9,10780.0,741.6,9578.02,6208.294992346932
76,10000,14355.8,6120.8,15891.9,10780.0,1233.0,9676.3,6034.907879164354
77,10000,14355.8,6120.8,15891.9,10780.0,1073.4,9644.380000000001,6090.893438732942
78,10000,14355.8,6120.8,15891.9,10780.0,1304.9,9690.68,6009.7928747170645
118,10500,,10506.2,,,,10506.2,
79,11000,20351.0,,16446.1,24957.5,16434.5,19547.275,4050.6445169256713
119,11500,,26553.3,17177.9,,,21865.6,6629.408916336356
80,12000,30064.9,,,17577.7,21688.1,23110.233333333337,6363.912976568216
81,12500,16179.6,,18942.1,22000.1,16551.4,18418.3,2683.3282182145854
121,13000,,25392.0,1495.3,,,13443.65,16897.51861798057
120,13000,,25392.0,6270.2,,,15831.1,13521.154448492925
82,13500,15032.5,,3811.7,16713.4,,11852.533333333335,7014.100564101811
83,14000,20534.3,8746.9,,23741.3,18016.4,17759.725,6449.144709378136
84,14500,14393.6,2224.2,17856.8,,15684.0,12539.65,7023.879752909594
85,14500,14393.6,1984.1,17856.8,,15684.0,12479.625,7141.460528666387
86,15000,14228.3,7744.5,19455.4,28027.8,,17364.0,8572.397158710432
87,15000,14228.3,7744.5,19455.4,14133.6,,13890.449999999999,4792.863947230995
88,15500,15402.6,,9857.8,11883.1,15988.7,13283.05,2915.7750078952713
122,16000,,13689.3,8595.2,24849.4,23281.2,17603.775,7771.953300758225
123,16500,,31351.5,19292.7,,,25322.1,8526.85925297234
90,17000,30609.6,11995.9,11575.9,19570.6,25714.0,19893.2,8372.153828914039
89,17000,30609.6,11995.9,8627.3,19570.6,25714.0,19303.48,9170.278268242464
141,17500,,,5591.2,11449.0,12711.4,9917.199999999999,3799.2262949184797
140,17500,,,7392.0,11449.0,12711.4,10517.466666666667,2779.3560141394864
92,18000,25091.7,12748.7,13913.7,25167.3,,19230.350000000002,6828.405208392366
91,18000,25091.7,12748.7,5560.2,25167.3,,17141.975,9678.883308651883
93,18500,11057.6,13081.6,25423.6,,23382.3,18236.275,7216.722780401548
94,19000,27406.4,10174.1,27663.5,20891.4,8546.3,18936.34,9171.385918878346
124,19500,,12894.8,,,6391.3,9643.05,4598.668951446711
95,20000,20715.1,4398.0,30932.4,14596.0,,17660.375,11116.938685440042
96,20000,20715.1,4678.6,30932.4,14596.0,,17730.525,11005.683147469766
97,20500,20136.6,,,27214.4,18018.1,21789.7,4815.863176004902
125,21000,,12750.4,27240.5,,35477.6,25156.166666666668,11506.074006512095
98,21500,15644.9,12908.0,,19123.7,,15892.200000000003,3115.2206326358337
126,22000,,20241.1,,11230.2,17296.3,16255.866666666667,4594.66602086956
99,22500,21057.9,,20697.5,24673.7,17737.8,21041.725000000002,2841.708129951656
100,23000,14696.3,30979.2,,12973.4,,19549.633333333335,9935.710429724357
142,23500,,,26191.6,4954.7,17519.8,16222.033333333333,10677.76330245868
101,24000,14211.2,,19220.0,17242.4,10389.9,15265.875,3848.3428098988275
102,24000,16874.6,,19220.0,17242.4,10389.9,15931.725,3835.4251840571733
143,24500,,,16559.0,14343.6,,15451.3,1566.5243630406771
103,25000,9578.1,29732.5,,,,19655.3,14251.312910746154
104,25000,9578.1,18909.5,,,,14243.8,6598.296217964149
105,25500,19308.7,,26459.7,11941.1,,19236.5,7259.569279234134
107,26000,19228.3,26185.3,,,,22706.8,4919.341876714811
109,26000,25028.9,26185.3,,,,25607.1,817.6982817641219
106,26000,22617.0,26185.3,,,,24401.15,2523.169127307957
112,26000,18124.5,26185.3,,,,22154.9,5699.846341788521
111,26000,22612.3,26185.3,,,,24398.8,2526.4925291795344
110,26000,29436.4,26185.3,,,,27810.85,2298.8748563155864
108,26000,15796.1,26185.3,,,,20990.7,7346.273771103279
127,26500,,25764.0,22312.2,,,24038.1,2440.7911872997242
128,26500,,25764.0,7102.0,,,16433.0,13196.02675050335
129,27000,,23242.3,,,,23242.3,
130,27000,,23839.7,,,,23839.7,
144,27500,,,20150.4,,,20150.4,
145,28500,,,26983.8,,,26983.8,
146,29000,,,8728.7,,,8728.7,
147,29500,,,19784.9,,,19784.9,
148,30000,,,15583.7,,,15583.7,
